price,datetime
1236.51220729,2021-01-22 23:59:59.999
1230.99063605,2021-01-23 23:59:59.999
1391.60940757,2021-01-24 23:59:59.999
1324.414778,2021-01-25 23:59:59.999
1357.0581398,2021-01-26 23:59:59.999
1253.18713315,2021-01-27 23:59:59.999
1332.49224455,2021-01-28 23:59:59.999
1382.52281244,2021-01-29 23:59:59.999
1376.11553895,2021-01-30 23:59:59.999
1314.9862286,2021-01-31 23:59:59.999
1369.04046855,2021-02-01 23:59:59.999
1515.19376962,2021-02-02 23:59:59.999
1660.909542,2021-02-03 23:59:59.999
1594.76269414,2021-02-04 23:59:59.999
1718.65087218,2021-02-05 23:59:59.999
1677.84684697,2021-02-06 23:59:59.999
1614.22782334,2021-02-07 23:59:59.999
1746.61684904,2021-02-08 23:59:59.999
1768.03501655,2021-02-09 23:59:59.999
1744.24343196,2021-02-10 23:59:59.999
1783.79795026,2021-02-11 23:59:59.999
1843.53258814,2021-02-12 23:59:59.999
1814.10985253,2021-02-13 23:59:59.999
1805.08404652,2021-02-14 23:59:59.999
1779.79097807,2021-02-15 23:59:59.999
1781.06747722,2021-02-16 23:59:59.999
1848.4582725,2021-02-17 23:59:59.999
1937.44925643,2021-02-18 23:59:59.999
1960.16474353,2021-02-19 23:59:59.999
1919.5340028,2021-02-20 23:59:59.999
1935.60106022,2021-02-21 23:59:59.999
1781.99297558,2021-02-22 23:59:59.999
1570.20392529,2021-02-23 23:59:59.999
1626.57570543,2021-02-24 23:59:59.999
1475.70373513,2021-02-25 23:59:59.999
1446.0336503,2021-02-26 23:59:59.999
1459.97312093,2021-02-27 23:59:59.999
1416.0489059,2021-02-28 23:59:59.999
1564.70764686,2021-03-01 23:59:59.999
1492.60881427,2021-03-02 23:59:59.999
1575.85312451,2021-03-03 23:59:59.999
1541.91428551,2021-03-04 23:59:59.999
1533.27497556,2021-03-05 23:59:59.999
1654.74151694,2021-03-06 23:59:59.999
1723.15379607,2021-03-07 23:59:59.999
1834.72788609,2021-03-08 23:59:59.999
1868.04878133,2021-03-09 23:59:59.999
1799.16622355,2021-03-10 23:59:59.999
1826.19498661,2021-03-11 23:59:59.999
1772.10247833,2021-03-12 23:59:59.999
1924.68543997,2021-03-13 23:59:59.999
1854.56437805,2021-03-14 23:59:59.999
1791.70230241,2021-03-15 23:59:59.999
1806.9717631,2021-03-16 23:59:59.999
